"old_name","new_name"
"img_20240630_195146_01.jpg","lowlight_night_kyoto_shrine_gate_01.jpg"
"img_20250322_185043_01.jpg","lowlight_dusk_lakeside_city_skyline_01.jpg"
"img_20250322_185045_01.jpg","lowlight_dusk_lakeside_tree_reflection_01.jpg"
"img_20250630_165819_01.jpg","lowlight_dusk_campus_crossroad_sky_01.jpg"
"img_20260109_090358_01.jpg","lowlight_dusk_riverfront_highrise_sun_01.jpg"
"img_20260330_123114_01.jpg","lowlight_dusk_park_road_pedestrians_01.jpg"
"img_20260330_123114_02.jpg","lowlight_dusk_park_road_pedestrians_02.jpg"
"img_20260330_123144_01.jpg","lowlight_night_campus_gate_entrance_01.jpg"
"img_20260330_123940_01.jpg","lowlight_night_overpass_roadlights_01.jpg"
"img_20260330_123941_01.jpg","lowlight_night_dorm_room_desk_01.jpg"
"img_20260330_123941_02.jpg","lowlight_night_foggy_road_lamps_01.jpg"
"img_20260330_123941_03.jpg","lowlight_night_dorm_buildings_windows_01.jpg"
"img_20260330_123942_01.jpg","lowlight_night_shrine_torii_corridor_01.jpg"
"img_20260330_123945_01.jpg","lowlight_night_rail_yard_window_view_01.jpg"
"img_20260330_123946_01.jpg","lowlight_night_indoor_notice_poster_01.jpg"
"img_20260330_123947_01.jpg","lowlight_night_campus_bridge_moon_01.jpg"
"img_20260330_123947_02.jpg","lowlight_dusk_residential_courtyard_01.jpg"
"img_20260330_123948_01.jpg","lowlight_dusk_city_rooftop_afterglow_01.jpg"
"img_20260330_125016_01.jpg","lowlight_night_residential_moonlight_01.jpg"
"img_20260330_125017_01.jpg","lowlight_dusk_urban_railway_tracks_01.jpg"
"img_20260330_125017_02.jpg","lowlight_night_city_pagoda_square_01.jpg"
"img_20260330_125018_01.jpg","lowlight_day_city_plaza_pedestrians_01.jpg"
"img_20260330_125018_02.jpg","lowlight_dusk_city_street_scooters_01.jpg"
"img_20260330_125020_01.jpg","lowlight_night_riverfront_neon_skyline_01.jpg"
"img_20260330_125020_02.jpg","lowlight_night_river_bridge_oldtown_01.jpg"
"img_20260330_125021_01.jpg","lowlight_night_city_monument_square_01.jpg"
"img_20260330_125022_01.jpg","lowlight_dusk_park_pavilion_temple_01.jpg"
"img_20260330_125022_02.jpg","lowlight_bluehour_riverfront_highrise_01.jpg"
"img_20260330_125024_01.jpg","lowlight_night_train_station_facade_01.jpg"
"img_20260330_125024_02.jpg","lowlight_night_pagoda_silhouette_01.jpg"
"img_20260330_125025_01.jpg","lowlight_night_bridge_traffic_streak_01.jpg"
"img_20260330_125025_02.jpg","lowlight_night_phone_steps_screenshot_01.jpg"
"img_20260330_125026_01.jpg","lowlight_night_museum_bronze_artifact_01.jpg"
"img_20260330_125136_01.jpg","lowlight_night_river_bridge_cityscape_01.jpg"
"img_20260330_125137_01.jpg","lowlight_night_river_bridges_panorama_01.jpg"
"img_20260330_125137_02.jpg","lowlight_dawn_lakeside_birds_mountains_01.jpg"
